event	time	e_time	u_time	magnitude	e_magnitude	band	upperlimit
SN1994I	49455.38		MJD	14.9100	0.1500	U	
SN1994I	49455.38		MJD	13.1400	0.0100	V	
SN1994I	49455.38		MJD	13.3000	0.0100	V	
SN1994I	49455.4		MJD	14.38		B	
SN1994I	49455.4		MJD	12.64		I	
SN1994I	49455.4		MJD	12.84		R	
SN1994I	49455.4		MJD	13.18		V	
SN1994I	49455.6		MJD	12.66		I	
SN1994I	49455.6		MJD	12.7		I	
SN1994I	49455.6		MJD	12.85		R	
SN1994I	49455.6		MJD	12.9		R	
SN1994I	49455.6		MJD	13.26		V	
SN1994I	49455.6		MJD	13.3		V	
SN1994I	49456.05		MJD	13.1		V	
SN1994I	49456.33		MJD	12.6200	0.0100	I	
SN1994I	49456.33		MJD	12.9200	0.0300	R	
SN1994I	49456.33		MJD	13.3700	0.0200	V	
SN1994I	49456.34		MJD	14.5600	0.0200	B	
SN1994I	49456.34		MJD	12.6500	0.0100	I	
SN1994I	49456.34		MJD	12.9500	0.0200	R	
SN1994I	49456.34		MJD	13.3000	0.0100	V	
SN1994I	49456.6		MJD	12.73		I	
SN1994I	49456.6		MJD	12.8		I	
SN1994I	49456.6		MJD	12.93		R	
SN1994I	49456.6		MJD	13		R	
SN1994I	49456.6		MJD	13.35		V	
SN1994I	49456.6		MJD	13.4		V	
SN1994I	49456.96		MJD	14.62		B	
SN1994I	49456.96		MJD	15.84		U	
SN1994I	49456.96		MJD	13.2		V	
SN1994I	49457.05		MJD	13.27		V	
SN1994I	49457.32		MJD	14.7500	0.0200	B	
SN1994I	49457.32		MJD	12.7200	0.0100	I	
SN1994I	49457.32		MJD	13.0400	0.0200	R	
SN1994I	49457.32		MJD	13.4600	0.0100	V	
SN1994I	49457.97		MJD	14.75		B	
SN1994I	49457.99		MJD	14.43		B	
SN1994I	49457.99		MJD	13.24		V	
SN1994I	49458.04		MJD	13.33		V	
SN1994I	49459.7		MJD	13		I	
SN1994I	49459.7		MJD	13.27		R	
SN1994I	49459.7		MJD	13.3		R	
SN1994I	49459.7		MJD	13.78		V	
SN1994I	49459.7		MJD	13.9		V	
SN1994I	49460.35		MJD	15.2800	0.0300	B	
SN1994I	49460.35		MJD	13.0000	0.0100	I	
SN1994I	49460.35		MJD	13.4100	0.0200	R	
SN1994I	49460.35		MJD	13.9300	0.0100	V	
SN1994I	49461.01		MJD	15.03		B	
SN1994I	49461.01		MJD	14.1		V	
SN1994I	49461.32		MJD	15.4000	0.0400	B	
SN1994I	49461.32		MJD	13.1000	0.0100	I	
SN1994I	49461.32		MJD	13.5300	0.0300	R	
SN1994I	49461.32		MJD	15.9700	0.2100	U	
SN1994I	49461.32		MJD	14.0800	0.0200	V	
SN1994I	49461.5		MJD	13.18		I	
SN1994I	49461.5		MJD	13.3		I	
SN1994I	49461.5		MJD	13.48		R	
SN1994I	49461.5		MJD	13.5		R	
SN1994I	49461.5		MJD	14.03		V	
SN1994I	49461.5		MJD	14.1		V	
SN1994I	49463.35		MJD	13.2300	0.0100	I	
SN1994I	49463.35		MJD	13.6900	0.0300	R	
SN1994I	49463.35		MJD	14.2900	0.0200	V	
SN1994I	49463.6		MJD	13.37		I	
SN1994I	49463.6		MJD	13.4		I	
SN1994I	49463.6		MJD	13.73		R	
SN1994I	49463.6		MJD	13.8		R	
SN1994I	49463.6		MJD	14.28		V	
SN1994I	49463.6		MJD	14.3		V	
SN1994I	49465.03		MJD	13.98		V	
SN1994I	49466.6		MJD	13.6		I	
SN1994I	49466.6		MJD	13.64		I	
SN1994I	49466.6		MJD	14		R	
SN1994I	49466.6		MJD	14.05		R	
SN1994I	49466.6		MJD	14.6		V	
SN1994I	49466.6		MJD	14.7		V	
